ms_subclass,ms_zoning,lot_area,lot_shape,land_contour,lot_config,neighborhood,bldg_type,house_style,overall_qual,overall_cond,year_remod_add,roof_style,exterior_1st,exterior_2nd,mas_vnr_type,mas_vnr_area,exter_qual,exter_cond,foundation,bsmt_qual,bsmt_cond,bsmt_exposure,bsmtfin_type_1,bsmtfin_sf_1,bsmt_unf_sf,heating_qc,electrical,1st_flr_sf,2nd_flr_sf,gr_liv_area,bsmt_full_bath,bsmt_half_bath,full_bath,half_bath,bedroom_abvgr,kitchen_qual,fireplaces,garage_type,garage_finish,garage_area,paved_drive,wood_deck_sf,mo_sold,sale_type,saleprice,pool,porch,age
60,RL,13517,2,Lvl,CulDSac,Sawyer,1Fam,2Story,6,8,2005,Gable,HdBoard,Plywood,BrkFace,289.0,4,3,CBlock,3,3,1,6,533.0,192.0,5,4,725,754,1479,0,0,2,1,3,4,0,Attchd,2,475.0,2,0,3,WD ,130500,0,1,34
60,RL,11492,2,Lvl,CulDSac,SawyerW,1Fam,2Story,7,5,1997,Gable,VinylSd,VinylSd,BrkFace,132.0,4,3,PConc,4,3,1,6,637.0,276.0,5,4,913,1209,2122,1,0,2,1,4,4,1,Attchd,2,559.0,2,0,4,WD ,220000,0,1,13
20,RL,7922,3,Lvl,Inside,NAmes,1Fam,1Story,5,7,2007,Gable,VinylSd,VinylSd,None,0.0,3,4,CBlock,3,3,1,6,731.0,326.0,3,4,1057,0,1057,1,0,1,0,3,4,0,Detchd,1,246.0,2,0,1,WD ,109000,0,1,57
60,RL,9802,3,Lvl,Inside,Timber,1Fam,2Story,5,5,2007,Gable,VinylSd,VinylSd,None,0.0,3,3,PConc,4,3,1,1,0.0,384.0,4,4,744,700,1444,0,0,2,1,3,3,0,BuiltIn,3,400.0,2,100,4,WD ,174000,0,0,4
50,RL,14235,2,Lvl,Inside,SawyerW,1Fam,1.5Fin,6,8,1993,Gable,Wd Sdng,Plywood,None,0.0,3,3,PConc,2,4,1,1,0.0,676.0,3,4,831,614,1445,0,0,2,0,3,3,0,Detchd,1,484.0,0,0,3,WD ,138500,0,1,110
20,RL,16492,2,Lvl,Corner,NAmes,1Fam,1Story,6,6,2002,Gable,BrkFace,Plywood,None,0.0,4,3,CBlock,3,3,1,5,247.0,557.0,5,4,1888,0,1888,0,0,2,1,2,4,1,Attchd,3,578.0,2,0,6,WD ,190000,0,0,44
180,RM,3675,3,Lvl,Inside,Edwards,TwnhsE,SFoyer,6,5,2006,Gable,VinylSd,VinylSd,BrkFace,82.0,3,3,PConc,4,3,4,6,547.0,0.0,4,4,1072,0,1072,1,0,2,0,2,3,0,Basment,3,525.0,2,0,6,New,140000,0,1,1
20,RL,12160,2,Lvl,Inside,NAmes,1Fam,1Story,5,5,1959,Hip,Plywood,Plywood,BrkFace,180.0,3,3,CBlock,3,3,1,3,1000.0,188.0,2,4,1188,0,1188,1,0,1,0,3,3,0,Attchd,2,531.0,2,0,5,COD,142000,0,0,51
20,RL,15783,3,Lvl,Inside,OldTown,1Fam,1Story,5,5,1952,Gable,Wd Sdng,Wd Sdng,None,0.0,3,3,CBlock,3,3,1,3,292.0,632.0,3,4,924,0,924,0,0,1,0,2,3,0,Detchd,1,420.0,2,0,6,WD ,112500,0,1,55
60,RL,11606,2,HLS,Inside,NAmes,1Fam,2Story,5,5,1969,Gable,Plywood,Plywood,BrkFace,192.0,3,3,PConc,4,3,3,3,650.0,390.0,3,4,1040,1040,2080,0,1,1,2,5,2,2,Attchd,1,504.0,2,335,9,WD ,135000,0,0,38
160,RM,1680,3,Lvl,Inside,BrDale,Twnhs,2Story,6,5,1971,Gable,HdBoard,HdBoard,BrkFace,232.0,3,3,CBlock,3,3,1,5,387.0,96.0,3,4,483,504,987,0,0,1,1,2,3,0,Detchd,1,264.0,2,0,7,COD,85400,0,0,37
20,RL,7488,2,Lvl,Inside,CollgCr,1Fam,1Story,7,5,2005,Gable,VinylSd,VinylSd,None,0.0,4,3,PConc,4,3,3,6,393.0,815.0,5,4,1208,0,1208,0,0,2,0,2,4,0,Attchd,2,632.0,2,105,2,WD ,183600,0,1,1
70,RL,26400,3,Bnk,FR2,SawyerW,1Fam,2Story,5,7,2007,Gable,HdBoard,HdBoard,None,0.0,4,3,PConc,0,0,0,0,0.0,0.0,5,4,1288,728,2016,0,0,1,0,4,3,1,Attchd,1,576.0,1,0,6,WD ,131000,0,0,129
160,FV,2645,3,Lvl,Inside,Somerst,Twnhs,2Story,8,5,2000,Gable,MetalSd,MetalSd,BrkFace,456.0,4,3,PConc,4,3,1,6,813.0,147.0,5,4,962,645,1607,1,0,2,1,3,4,0,Detchd,1,480.0,2,169,12,ConLD,200000,0,0,9
20,RL,9627,3,Lvl,Inside,CollgCr,1Fam,1Story,7,5,2007,Gable,VinylSd,VinylSd,None,0.0,4,3,PConc,4,3,3,6,24.0,1327.0,5,4,1361,0,1361,0,0,2,0,3,4,0,Attchd,2,610.0,2,0,6,WD ,193000,0,1,1
